issue_category,customer_sentiment,issue_complexity,agent_experience_level,agent_politeness,agent_empathy,agent_professionalism,communication_clarity,apology_present,patience_present,active_listening_present,deescalation_present,helpfulness,customer_tone_observed,outcome_quality,retention_label
Return and Exchange,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Expedited Delivery,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Product Availability and Status,negative,high,junior,medium,present,medium,medium,1,0,1,1,medium,negative,partially_resolved,not_retained
Shipping Options for Returns,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,medium,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,0,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Pickup and Shipping,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Return Checks and Fees,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Returns and Refunds,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Shipping Options for Returns,neutral,less,junior,high,present,high,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Accessing Warranty Details,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Loyalty program,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Order Confirmation and Status,positive,medium,junior,medium,present,medium,high,1,1,1,1,high,positive,resolved,retained
Account Reactivation and Deactivation,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Account and Shopping,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Returns and Refunds,negative,high,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Availability of Faster Delivery Options,negative,less,inexperienced,medium,present,medium,medium,1,1,1,0,low,negative,unresolved,not_retained
Replacement and Return Process,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Shipping Options for Returns,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Cancellation,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Pricing and Discounts,frustrated,less,junior,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Shipping Options for Returns,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Loyalty program,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return Checks and Fees,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,partially_resolved,uncertain
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Confirmation and Status,positive,high,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Pickup and Shipping,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Login Methods,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Pricing and Discounts,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Shipping Options for Returns,neutral,less,inexperienced,medium,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Replacement and Return Process,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Product Availability and Status,neutral,high,junior,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Availability for Shipping,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Mobile Number and Email Verification,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Return and Exchange,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Login Methods,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Warranty Terms and Changes,neutral,high,inexperienced,medium,present,medium,high,0,1,1,0,medium,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Free Delivery Qualification,neutral,less,experienced,high,present,high,high,0,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Warranty Claim Process,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Product Installation,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,less,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,high,present,high,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pricing and Discounts,neutral,medium,junior,high,present,medium,high,1,1,1,0,medium,neutral,resolved,retained
Replacement and Return Process,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,neutral,less,junior,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Extended Warranty,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,not_retained
Start Date of Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Product Availability for Shipping,negative,medium,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Replacement and Return Process,neutral,medium,junior,high,present,high,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Return and Exchange,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Free Delivery Qualification,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,positive,less,inexperienced,high,present,medium,high,0,1,1,0,high,positive,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Order Delivery Issues,negative,medium,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Replacement and Return Process,neutral,medium,inexperienced,high,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Warranty Terms and Changes,negative,medium,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Miscellaneous,negative,medium,experienced,medium,present,high,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Availability of Faster Delivery Options,negative,medium,junior,medium,present,medium,medium,1,1,1,0,medium,negative,unresolved,not_retained
Pricing and Discounts,frustrated,high,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,negative,medium,experienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,positive,medium,junior,high,present,medium,high,0,1,1,0,high,positive,resolved,retained
Order Cancellation,neutral,medium,experienced,high,present,high,high,0,1,1,1,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,high,inexperienced,medium,present,medium,high,1,1,1,0,medium,negative,resolved,not_retained
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Installation,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,inexperienced,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Replacement and Return Process,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,partially_resolved,uncertain
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Mobile Number and Email Verification,negative,medium,junior,high,present,medium,high,1,1,1,0,high,negative,resolved,retained
Login Issues and Error Messages,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Return Checks and Fees,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Placing an Order,positive,medium,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,medium,junior,medium,present,medium,medium,1,1,0,1,medium,negative,resolved,retained
Order Cancellation,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,high,junior,high,present,medium,high,1,1,1,0,high,negative,resolved,retained
Login Methods,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Free Delivery Qualification,neutral,less,experienced,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Order Confirmation and Status,neutral,less,experienced,high,present,high,high,1,1,1,0,high,positive,resolved,retained
Returns and Refunds,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Shipping Options for Returns,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Login Methods,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,medium,junior,medium,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Miscellaneous,negative,less,junior,medium,present,medium,medium,1,1,1,0,medium,negative,partially_resolved,uncertain
Order Delivery Issues,negative,less,junior,medium,present,medium,medium,1,1,1,0,low,negative,unresolved,not_retained
Order Delivery Issues,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Return and Exchange,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Book Pricing Discrepancies,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Availability and Status,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Product Availability for Shipping,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Return and Exchange,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return Checks and Fees,neutral,medium,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Lost or Missing Warranty Card,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Book Pricing Discrepancies,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Product Availability and Status,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Pricing and Discounts,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Accessing Warranty Details,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Return and Exchange,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Product Availability and Status,negative,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,unresolved,not_retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Loyalty program,neutral,less,experienced,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Free Delivery Qualification,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Expedited Delivery,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Placing an Order,positive,high,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Warranty Claim Process,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,negative,high,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Issues and Error Messages,neutral,less,junior,high,present,medium,high,0,1,1,0,medium,neutral,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Order Delivery Issues,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Warranty Claim Process,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,experienced,high,present,high,high,0,1,1,1,high,negative,resolved,retained
Product Registration and Warranty,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Start Date of Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,negative,medium,experienced,high,present,high,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,negative,high,junior,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Loyalty program,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,frustrated,medium,inexperienced,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Standard Shipping Speeds and Delivery Charges,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Standard Shipping Speeds and Delivery Charges,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return Checks and Fees,negative,medium,junior,medium,present,medium,medium,1,1,1,1,low,negative,unresolved,not_retained
Adding and Changing Account Information,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Account Reactivation and Deactivation,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Returns and Refunds,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,high,inexperienced,medium,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,neutral,high,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,junior,high,present,medium,high,1,0,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,medium,experienced,high,present,high,medium,1,0,1,1,medium,negative,partially_resolved,not_retained
Product Availability for Shipping,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Warranty Claim Process,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return Checks and Fees,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Replacement and Return Process,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,0,1,1,0,medium,neutral,resolved,retained
Lost or Missing Warranty Card,frustrated,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,less,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Placing an Order,positive,medium,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Returns and Refunds,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Installation,negative,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,resolved,retained
Return Checks and Fees,neutral,medium,inexperienced,medium,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Loyalty program,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Invoice and Payment,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,resolved,retained
Pricing and Discounts,frustrated,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Lost or Missing Warranty Card,frustrated,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Login Issues and Error Messages,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Expedited Delivery,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,high,neutral,partially_resolved,uncertain
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Pricing and Discounts,neutral,less,experienced,high,present,high,high,0,0,0,0,high,neutral,resolved,retained
Expedited Delivery,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Expedited Delivery,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Loyalty program,neutral,medium,junior,high,present,medium,high,0,0,1,0,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,partially_resolved,uncertain
Order Confirmation and Status,positive,less,junior,high,present,medium,high,0,1,1,0,high,positive,resolved,retained
Pickup and Shipping,neutral,medium,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,experienced,unknown,unknown,unknown,unknown,0,0,0,0,unknown,negative,unknown,not_retained
Order Delivery Issues,frustrated,medium,inexperienced,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,frustrated,medium,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Returns and Refunds,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Warranty Claim Process,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Availability and Status,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Book Pricing Discrepancies,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,less,inexperienced,medium,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Shipping Options for Returns,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,less,inexperienced,medium,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Availability of Faster Delivery Options,negative,high,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Accessing Warranty Details,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Standard Shipping Speeds and Delivery Charges,neutral,medium,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,inexperienced,high,present,medium,high,1,0,1,0,medium,neutral,resolved,retained
Login Issues and Error Messages,neutral,high,inexperienced,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Warranty Terms and Changes,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Account and Shopping,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Product Installation,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,resolved,retained
Order Delivery Issues,negative,high,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Pickup and Shipping,frustrated,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Adding and Changing Account Information,neutral,high,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,frustrated,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Availability for Shipping,negative,high,inexperienced,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,frustrated,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
